,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
151340,Papua New Guinea,Oil products,production from refineries,2008,0.0,6768616900.0
151341,Papua New Guinea,Oil products,Consumption by domestic aviation,2009,1.0,488000000.0
151342,Papua New Guinea,Oil products,Consumption by domestic navigation,2009,1.0,61000000.0
151343,Papua New Guinea,Oil products,Consumption by households,2009,1.0,472000000.0
151344,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2009,0.0,174266668.8
151345,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2009,1.0,267510000.00000003
151346,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2009,1.0,4855486668.8
151347,Papua New Guinea,Oil products,Consumption by other,2009,2.0,1767840000.0
151348,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2009,0.0,27300000.0
151349,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2009,1.0,267510000.00000003
151350,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2009,1.0,4852820000.0
151351,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2009,0.0,2666668.8
151352,Papua New Guinea,Oil products,Consumption by transport,2009,3.0,4068940000.0
151353,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2009,1.0,1268540000.0
151354,Papua New Guinea,Oil products,Consumption in road,2009,2.0,3519940000.0
151355,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2009,2.0,5120330000.0
151356,Papua New Guinea,Oil products,Exports,2009,0.0,0.0
151357,Papua New Guinea,Oil products,Final consumption,2009,5.0,11131376668.8
151358,Papua New Guinea,Oil products,Final energy consumption,2009,5.0,11131376668.8
151359,Papua New Guinea,Oil products,Fuel oil,2009,0.0,3463200000.0
151360,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2009,0.0,3094000000.0
151361,Papua New Guinea,Oil products,Imports,2009,1.0,8718377780.0
151362,Papua New Guinea,Oil products,International aviation bunkers,2009,1.0,488000000.0
151363,Papua New Guinea,Oil products,International marine bunkers,2009,2.0,373956800.0
151364,Papua New Guinea,Oil products,Production,2009,0.0,7004211150.0
151365,Papua New Guinea,Oil products,Stock changes,2009,0.0,-113433330.0
